league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Market  Value (EUROS)
ENG-Premier League,2425,Ipswich Town,Dara O'Shea,IRL,DF,25,1999,35,35,3122,34.7,0,2,2,0,0,0,6,0,1.3,1.3,0.5,1.8,3,80,8,0,0.06,0.06,0,0.06,0.04,0.01,0.05,0.04,0.05,14000000
ENG-Premier League,2425,Ipswich Town,Leif Davis,ENG,DF,24,2000,33,32,2743,30.5,1,2,3,1,0,0,5,1,1,1,4.9,5.8,52,59,137,0.03,0.07,0.1,0.03,0.1,0.03,0.16,0.19,0.03,0.19,22000000
ENG-Premier League,2425,Ipswich Town,Liam Delap,ENG,FW,21,2003,37,32,2593,28.8,12,2,14,10,2,2,12,0,9.3,7.8,1.9,9.7,61,30,110,0.42,0.07,0.49,0.35,0.42,0.32,0.07,0.39,0.27,0.34,35000000
ENG-Premier League,2425,Ipswich Town,Omari Hutchinson,ENG,"MF,FW",20,2003,31,30,2583,28.7,3,2,5,3,0,0,5,0,2.9,2.9,3.5,6.4,97,75,159,0.1,0.07,0.17,0.1,0.17,0.1,0.12,0.22,0.1,0.22,22000000
ENG-Premier League,2425,Ipswich Town,Sam Morsy,EGY,MF,32,1991,33,31,2751,30.6,1,1,2,1,0,0,10,0,0.4,0.4,1.2,1.6,22,120,13,0.03,0.03,0.07,0.03,0.07,0.01,0.04,0.05,0.01,0.05,500000
ENG-Premier League,2425,Leicester City,James Justin,ENG,DF,26,1998,36,34,2912,32.4,2,2,4,2,0,0,6,0,1.5,1.5,0.8,2.3,39,91,96,0.06,0.06,0.12,0.06,0.12,0.05,0.03,0.07,0.05,0.07,13000000
ENG-Premier League,2425,Leicester City,Jamie Vardy,ENG,FW,37,1987,35,35,2823,31.4,9,4,13,8,1,2,5,0,11.2,9.6,3,12.6,29,22,120,0.29,0.13,0.41,0.26,0.38,0.36,0.1,0.45,0.31,0.4,1000000
ENG-Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24,2000,27,27,2385,26.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15000000
ENG-Premier League,2425,Leicester City,Victor Bernth Kristiansen,DEN,DF,21,2002,30,29,2482,27.6,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,40,70,78,0,0.04,0.04,0,0.04,0.01,0.05,0.06,0.01,0.06,15000000
ENG-Premier League,2425,Leicester City,Wilfred Ndidi,NGA,MF,27,1996,28,28,2324,25.8,0,5,5,0,0,0,8,0,2,2,1.9,3.9,18,70,75,0,0.19,0.19,0,0.19,0.08,0.07,0.15,0.08,0.15,15000000
ENG-Premier League,2425,Leicester City,Wout Faes,BEL,DF,26,1998,34,30,2815,31.3,1,0,1,1,0,0,4,0,1.5,1.5,0.1,1.6,12,86,1,0.03,0,0.03,0.03,0.03,0.05,0,0.05,0.05,0.05,15000000
ENG-Premier League,2425,Liverpool,Alexis Mac Allister,ARG,MF,25,1998,35,30,2599,28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,90000000
ENG-Premier League,2425,Liverpool,Alisson,BRA,GK,31,1992,28,28,2508,27.9,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,1,0,0,0,0,0,0,0,0.02,0.02,0,0.02,15000000
ENG-Premier League,2425,Liverpool,Andrew Robertson,SCO,DF,30,1994,33,29,2482,27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0,0.04,0.04,0,0.04,0.04,0.17,0.21,0.04,0.21,14000000
ENG-Premier League,2425,Liverpool,Dominik Szoboszlai,HUN,MF,23,2000,36,29,2491,27.7,6,6,12,6,0,0,6,0,7.3,7.3,7.4,14.7,72,131,127,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,80000000
ENG-Premier League,2425,Liverpool,Ibrahima Konaté,FRA,DF,25,1999,31,30,2560,28.4,1,2,3,1,0,0,5,0,1.7,1.7,1,2.7,25,115,3,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1,55000000
ENG-Premier League,2425,Liverpool,Luis Díaz,COL,FW,27,1997,36,28,2399,26.7,13,5,18,13,0,0,2,0,12,12,5,17.1,108,110,293,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,65000000
ENG-Premier League,2425,Liverpool,Mohamed Salah,EGY,FW,32,1992,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,45000000
ENG-Premier League,2425,Liverpool,Ryan Gravenberch,NED,MF,22,2002,37,37,3160,35.1,0,4,4,0,0,0,6,1,1.1,1.1,3.1,4.2,70,181,55,0,0.11,0.11,0,0.11,0.03,0.09,0.12,0.03,0.12,75000000
ENG-Premier League,2425,Liverpool,Trent Alexander-Arnold,ENG,DF,25,1998,33,28,2365,26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,75000000
ENG-Premier League,2425,Liverpool,Virgil van Dijk,NED,DF,33,1991,37,37,3330,37,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,20000000
ENG-Premier League,2425,Manchester City,Bernardo Silva,POR,"MF,FW",29,1994,33,29,2670,29.7,4,4,8,4,0,0,7,0,3.9,3.9,5.1,9,101,134,200,0.13,0.13,0.27,0.13,0.27,0.13,0.17,0.3,0.13,0.3,32000000
ENG-Premier League,2425,Manchester City,Ederson,BRA,GK,30,1993,26,26,2320,25.8,0,4,4,0,0,0,4,0,0,0,1.5,1.5,0,2,0,0,0.16,0.16,0,0.16,0,0.06,0.06,0,0.06,15000000
ENG-Premier League,2425,Manchester City,Erling Haaland,NOR,FW,24,2000,31,31,2736,30.4,22,3,25,19,3,4,2,0,22,18.8,3,21.8,24,20,124,0.72,0.1,0.82,0.62,0.72,0.72,0.1,0.82,0.62,0.72,180000000
ENG-Premier League,2425,Manchester City,Joško Gvardiol,CRO,DF,22,2002,37,36,3277,36.4,5,0,5,5,0,0,2,0,4.6,4.3,2.1,6.3,91,264,121,0.14,0,0.14,0.14,0.14,0.13,0.06,0.18,0.12,0.17,75000000
ENG-Premier League,2425,Manchester Utd,André Onana,CMR,GK,28,1996,34,34,3060,34,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,25000000
ENG-Premier League,2425,Manchester Utd,Bruno Fernandes,POR,MF,29,1994,36,35,3018,33.5,8,10,18,5,3,3,5,2,9.9,7.6,8.5,16.1,77,325,129,0.24,0.3,0.54,0.15,0.45,0.3,0.25,0.55,0.23,0.48,50000000
ENG-Premier League,2425,Manchester Utd,Diogo Dalot,POR,DF,25,1999,33,31,2814,31.3,0,3,3,0,0,0,5,0,2,2,2,4.1,62,103,168,0,0.1,0.1,0,0.1,0.07,0.07,0.13,0.07,0.13,25000000
ENG-Premier League,2425,Manchester Utd,Noussair Mazraoui,MAR,DF,26,1997,37,34,2838,31.5,0,1,1,0,0,0,3,0,0.7,0.7,1.5,2.2,42,115,58,0,0.03,0.03,0,0.03,0.02,0.05,0.07,0.02,0.07,25000000
ENG-Premier League,2425,Newcastle Utd,Alexander Isak,SWE,FW,24,1999,34,34,2756,30.6,23,6,29,19,4,4,1,0,20.3,17.2,4.3,21.6,83,88,217,0.75,0.2,0.95,0.62,0.82,0.66,0.14,0.81,0.56,0.7,120000000
ENG-Premier League,2425,Newcastle Utd,Anthony Gordon,ENG,"FW,MF",23,2001,34,28,2434,27,6,5,11,5,1,2,2,0,8,6.5,5,11.4,121,98,214,0.22,0.18,0.41,0.18,0.37,0.3,0.18,0.48,0.24,0.42,60000000
ENG-Premier League,2425,Newcastle Utd,Bruno Guimarães,BRA,MF,26,1997,38,38,3271,36.3,5,6,11,5,0,0,7,0,4.3,4.3,6.1,10.4,64,271,96,0.14,0.17,0.3,0.14,0.3,0.12,0.17,0.29,0.12,0.29,75000000
ENG-Premier League,2425,Newcastle Utd,Dan Burn,ENG,DF,32,1992,37,37,3330,37,1,1,2,1,0,0,11,0,2,2,0.9,2.8,12,75,14,0.03,0.03,0.05,0.03,0.05,0.05,0.02,0.08,0.05,0.08,2000000
ENG-Premier League,2425,Newcastle Utd,Fabian Schär,SUI,DF,32,1991,34,33,2934,32.6,4,0,4,4,0,0,9,1,3.7,3.7,0.4,4.1,18,118,22,0.12,0,0.12,0.12,0.12,0.11,0.01,0.13,0.11,0.13,2500000
ENG-Premier League,2425,Newcastle Utd,Jacob Murphy,ENG,FW,29,1995,35,31,2360,26.2,8,12,20,8,0,0,4,0,5.7,5.7,8.9,14.6,79,83,231,0.31,0.46,0.76,0.31,0.76,0.22,0.34,0.56,0.22,0.56,10000000
ENG-Premier League,2425,Newcastle Utd,Joelinton,BRA,"MF,FW",27,1996,29,29,2393,26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,32000000
ENG-Premier League,2425,Newcastle Utd,Nick Pope,ENG,GK,32,1992,28,28,2520,28,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4000000
ENG-Premier League,2425,Newcastle Utd,Sandro Tonali,ITA,MF,24,2000,36,28,2630,29.2,4,2,6,4,0,0,5,0,4.4,4.4,2.2,6.6,37,128,53,0.14,0.07,0.21,0.14,0.21,0.15,0.07,0.22,0.15,0.22,55000000
ENG-Premier League,2425,Newcastle Utd,Valentino Livramento,ENG,DF,21,2002,37,32,2840,31.6,0,1,1,0,0,0,1,0,0.3,0.3,2.6,2.9,83,158,119,0,0.03,0.03,0,0.03,0.01,0.08,0.09,0.01,0.09,40000000
ENG-Premier League,2425,Nott'ham Forest,Anthony Elanga,SWE,"FW,MF",22,2002,38,31,2501,27.8,6,11,17,6,0,0,1,0,4.5,4.5,5.7,10.1,102,63,229,0.22,0.4,0.61,0.22,0.61,0.16,0.2,0.36,0.16,0.36,40000000
ENG-Premier League,2425,Nott'ham Forest,Chris Wood,NZL,FW,32,1991,36,35,2959,32.9,20,3,23,17,3,3,1,0,13.4,11,2.6,13.6,14,42,94,0.61,0.09,0.7,0.52,0.61,0.41,0.08,0.49,0.34,0.42,6000000
ENG-Premier League,2425,Nott'ham Forest,Elliot Anderson,ENG,MF,21,2002,37,33,2728,30.3,2,6,8,2,0,0,10,0,2.1,2.1,3.3,5.4,52,143,94,0.07,0.2,0.26,0.07,0.26,0.07,0.11,0.18,0.07,0.18,27000000
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,BEL,GK,32,1992,38,38,3420,38,0,0,0,0,0,0,4,0,0,0,0.4,0.4,1,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,2500000
ENG-Premier League,2425,Nott'ham Forest,Morgan Gibbs-White,ENG,MF,24,2000,34,34,2803,31.1,7,8,15,7,0,0,11,1,6.3,6.3,5,11.2,69,164,137,0.22,0.26,0.48,0.22,0.48,0.2,0.16,0.36,0.2,0.36,50000000
ENG-Premier League,2425,Nott'ham Forest,Murillo,BRA,DF,22,2002,36,36,3188,35.4,2,0,2,2,0,0,6,0,1.4,1.4,1.2,2.6,22,115,5,0.06,0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,55000000
ENG-Premier League,2425,Nott'ham Forest,Neco Williams,WAL,DF,23,2001,35,28,2594,28.8,1,3,4,1,0,0,7,0,2.3,2.3,1.6,3.9,68,89,103,0.03,0.1,0.14,0.03,0.14,0.08,0.05,0.13,0.08,0.13,16000000
ENG-Premier League,2425,Nott'ham Forest,Nikola Milenković,SRB,DF,26,1997,37,37,3330,37,5,2,7,5,0,0,4,0,4,4,1.1,5.1,3,51,6,0.14,0.05,0.19,0.14,0.19,0.11,0.03,0.14,0.11,0.14,30000000
ENG-Premier League,2425,Nott'ham Forest,Ola Aina,NGA,DF,27,1996,35,35,2995,33.3,2,1,3,2,0,0,5,0,0.6,0.6,1.4,2.1,67,107,67,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,20000000
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26,1998,30,30,2700,30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000000
ENG-Premier League,2425,Southampton,Jan Bednarek,POL,DF,28,1996,30,30,2531,28.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,60,2,0.07,0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,9000000
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,DF,27,1997,33,33,2918,32.4,0,2,2,0,0,0,5,0,0.8,0.8,2.8,3.6,114,139,144,0,0.06,0.06,0,0.06,0.03,0.09,0.11,0.03,0.11,15000000
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20,2004,36,34,2909,32.3,2,4,6,2,0,0,8,0,4,4,3,7,76,145,108,0.06,0.12,0.19,0.06,0.19,0.12,0.09,0.22,0.12,0.22,15000000
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,22,2002,34,32,2825,31.4,1,0,1,1,0,0,9,0,1.8,1.8,1,2.8,29,125,9,0.03,0,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,22000000
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24,2000,32,27,2389,26.5,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,124,210,0.26,0.15,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39,50000000
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,24,1999,33,28,2610,29,2,6,8,2,0,0,5,0,1.6,1.6,5,6.6,65,154,109,0.07,0.21,0.28,0.07,0.28,0.05,0.17,0.23,0.05,0.23,35000000
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,26,1997,36,35,3154,35,2,5,7,2,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,20000000
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",27,1996,34,34,2973,33,13,8,21,12,1,1,1,0,8.6,7.8,6.8,14.7,109,91,212,0.39,0.24,0.64,0.36,0.61,0.26,0.21,0.47,0.24,0.44,35000000
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,"MF,FW",26,1997,33,27,2380,26.4,4,0,4,2,2,2,10,0,5.3,3.7,3.1,6.8,26,155,85,0.15,0,0.15,0.08,0.08,0.2,0.12,0.32,0.14,0.26,23000000
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,27,1997,38,38,3348,37.2,0,1,1,0,0,0,5,0,1.6,1.6,1.2,2.8,31,113,6,0,0.03,0.03,0,0.03,0.04,0.03,0.08,0.04,0.08,25000000
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"FW,MF",23,2000,32,31,2590,28.8,5,3,8,5,0,0,2,1,6.9,6.9,3.1,10,98,79,216,0.17,0.1,0.28,0.17,0.28,0.24,0.11,0.35,0.24,0.35,40000000
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,29,1995,35,30,2567,28.5,9,1,10,9,0,0,8,0,6.7,6.7,1,7.8,9,74,68,0.32,0.04,0.35,0.32,0.35,0.24,0.04,0.27,0.24,0.27,18000000
ENG-Premier League,2425,Wolves,André,BRA,MF,23,2001,33,31,2472,27.5,0,0,0,0,0,0,7,0,0.4,0.4,0.8,1.3,10,109,11,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,25000000
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31,1993,29,29,2609,29,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,2500000
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23,2001,36,35,2974,33,3,1,4,3,0,0,11,1,2.9,2.9,1.2,4.1,59,165,76,0.09,0.03,0.12,0.09,0.12,0.09,0.04,0.12,0.09,0.12,35000000
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24,2000,35,30,2587,28.7,14,4,18,14,0,0,4,0,10.3,10.3,3,13.3,17,29,112,0.49,0.14,0.63,0.49,0.63,0.36,0.1,0.46,0.36,0.46,25000000
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25,1999,33,29,2597,28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.52,0.21,0.73,0.52,0.73,0.3,0.27,0.57,0.3,0.57,55000000
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,30,1993,34,32,2886,32.1,0,4,4,0,0,0,8,0,0.9,0.9,2.8,3.7,67,80,119,0,0.12,0.12,0,0.12,0.03,0.09,0.12,0.03,0.12,9000000
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23,2001,37,37,3109,34.5,4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.2,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24,28000000
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25,1999,31,30,2614,29,0,1,1,0,0,0,7,0,0.7,0.7,0.9,1.7,27,86,18,0,0.03,0.03,0,0.03,0.03,0.03,0.06,0.03,0.06,28000000
